GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EcommerceUserManagement,com.infy.EcommerceUserManagement.model,Seller,81,0,0,0,22,0,14,0,14,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.model,Cart,57,0,0,0,17,0,9,0,9,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.model,Wishlist,39,0,0,0,11,0,6,0,6,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.model,Product,10,0,0,0,4,0,3,0,3,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.model,Buyer,105,0,0,0,29,0,18,0,18,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,WishlistAlreadyExist,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,AlreadyPrivilegeException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,UserException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,NotPrivilegeBuyerException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,WishlistNotAvailableException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,WrongPasswordException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,WishListEmptyException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,CartItemNotExistException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,InvalidEmailIdException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,InSufficientRewardPoint,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,AlreadyNotPrivilegeException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,StockNotAvailableException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,AlreadyPhoneNumberExistException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,WrongEmailException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,AlreadyEmailIdExistException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,InvalidPhoneNumberException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.exception,InvalidNameException,4,0,0,0,2,0,1,0,1,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.controller,CartController,74,7,0,0,16,2,4,2,4,2
EcommerceUserManagement,com.infy.EcommerceUserManagement.controller,SellerController,120,7,0,0,30,2,4,2,4,2
EcommerceUserManagement,com.infy.EcommerceUserManagement.controller,WishListController,77,7,0,0,23,2,4,2,4,2
EcommerceUserManagement,com.infy.EcommerceUserManagement.controller,BuyerController,160,7,0,0,44,2,8,2,8,2
EcommerceUserManagement,com.infy.EcommerceUserManagement.service,CartService,349,3,32,0,64,1,20,1,4,1
EcommerceUserManagement,com.infy.EcommerceUserManagement.service,SellerService,184,3,24,0,49,1,23,1,11,1
EcommerceUserManagement,com.infy.EcommerceUserManagement.service,BuyerService,317,7,38,0,87,2,34,2,15,2
EcommerceUserManagement,com.infy.EcommerceUserManagement.service,WishListService,345,3,36,0,71,1,22,1,4,1
EcommerceUserManagement,com.infy.EcommerceUserManagement,EcommerceUserManagementApplication,5,6,0,0,2,2,1,2,1,2
EcommerceUserManagement,com.infy.EcommerceUserManagement.entity,BuyerEntity,102,3,0,0,27,2,17,1,17,1
EcommerceUserManagement,com.infy.EcommerceUserManagement.entity,WishListId,26,0,0,0,12,0,6,0,6,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.entity,CartId,26,0,0,0,12,0,6,0,6,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.entity,WishlistEntity,27,0,0,0,9,0,5,0,5,0
EcommerceUserManagement,com.infy.EcommerceUserManagement.entity,SellerEntity,78,3,0,0,20,2,13,1,13,1
EcommerceUserManagement,com.infy.EcommerceUserManagement.entity,CartEntity,42,0,0,0,13,0,7,0,7,0
